epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.56085,1.77235,4.4363,1.55718,0.00167,0.5,0.01613,0.00522,1.78764,5.50475,2.11385,4e-05,4e-05,4e-05
2,10.9359,1.50698,4.03993,1.50399,0.00167,0.5,0.0668,0.01803,1.55803,5.18919,1.86172,9.901e-05,9.901e-05,9.901e-05
3,16.4241,1.51235,3.74988,1.56738,0.00167,0.5,0.03721,0.01516,1.50275,4.89958,1.78708,0.000156832,0.000156832,0.000156832
4,22.0995,1.21351,3.74656,1.20789,0.00208,0.625,0.07218,0.02678,1.28924,4.66889,1.59584,0.000213466,0.000213466,0.000213466
5,27.6596,1.20819,3.33126,1.28171,0.0025,0.75,0.03314,0.01824,1.23519,4.42294,1.43352,0.000268912,0.000268912,0.000268912
6,33.4665,1.37466,3.47102,1.36011,0.00333,1,0.19236,0.06959,1.29604,4.3116,1.38707,0.00032317,0.00032317,0.00032317
7,38.8001,1.26312,3.18871,1.22331,0.00333,1,0.21087,0.08624,1.37218,4.22513,1.38804,0.00037624,0.00037624,0.00037624
8,44.1651,1.2178,3.13431,1.28925,0.00333,1,0.03915,0.01658,1.3826,4.11331,1.45205,0.000428122,0.000428122,0.000428122
9,49.5016,1.14305,2.5966,1.26269,0.00333,1,0.02624,0.01518,1.39186,4.04721,1.43826,0.000478816,0.000478816,0.000478816
10,54.8602,1.17039,3.05754,1.28074,0.00333,1,0.02545,0.01179,1.25082,3.88494,1.35245,0.000528322,0.000528322,0.000528322
11,60.1605,1.1568,2.69046,1.22505,0.00333,1,0.05523,0.02213,1.16392,3.77834,1.3609,0.00057664,0.00057664,0.00057664
12,65.4012,1.18226,2.43939,1.36405,0.00333,1,0.05523,0.02213,1.16392,3.77834,1.3609,0.00062377,0.00062377,0.00062377
13,70.6679,1.01561,2.50623,1.06599,0.00333,1,0.07193,0.03826,1.00917,3.83234,1.27326,0.000669712,0.000669712,0.000669712
14,76.013,1.02775,2.61315,1.14244,0.00333,1,0.09543,0.03763,0.97314,3.77644,1.21117,0.000714466,0.000714466,0.000714466
15,81.2694,1.0889,2.15678,1.25348,0.00333,1,0.09543,0.03763,0.97314,3.77644,1.21117,0.000758032,0.000758032,0.000758032
16,86.5614,1.16375,2.11454,1.17704,0.00333,1,0.26272,0.14661,0.89426,3.6507,1.19559,0.00080041,0.00080041,0.00080041
17,91.8437,1.07214,2.01127,1.18913,0.00333,1,0.26272,0.14661,0.89426,3.6507,1.19559,0.0008416,0.0008416,0.0008416
18,97.2131,1.05718,2.24682,1.17996,0.1866,0.75,0.47334,0.32389,0.90641,3.40551,1.23352,0.000881602,0.000881602,0.000881602
19,102.542,0.92255,2.50049,1.1539,0.1866,0.75,0.47334,0.32389,0.90641,3.40551,1.23352,0.000920416,0.000920416,0.000920416
20,107.995,1.07928,2.68805,1.20087,0.00421,0.75,0.2982,0.2091,0.96105,3.51288,1.22551,0.000958042,0.000958042,0.000958042
21,113.256,1.07568,2.42578,1.43295,0.00421,0.75,0.2982,0.2091,0.96105,3.51288,1.22551,0.00099448,0.00099448,0.00099448
22,118.573,1.12169,2.15717,1.19852,0.00421,0.75,0.2982,0.2091,0.96105,3.51288,1.22551,0.00102973,0.00102973,0.00102973
23,123.849,1.08214,2.28177,1.13257,0.34523,0.125,0.19731,0.07896,0.98047,3.75793,1.20876,0.00106379,0.00106379,0.00106379
24,129.182,0.98758,2.14607,1.10972,0.34523,0.125,0.19731,0.07896,0.98047,3.75793,1.20876,0.00109667,0.00109667,0.00109667
