epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.5209,2.20142,4.97625,1.8653,0.00111,0.33333,0.00433,0.00145,1.59028,5.17193,1.76048,6e-05,6e-05,6e-05
2,9.00777,1.7252,3.91844,1.6943,0.00167,0.5,0.01384,0.00687,1.33548,4.72049,1.61019,0.000138614,0.000138614,0.000138614
3,13.3803,1.46171,3.60309,1.67992,0.00167,0.5,0.02171,0.01299,1.30048,4.59038,1.57238,0.000215644,0.000215644,0.000215644
4,17.8625,1.77325,3.75688,1.68328,0.00278,0.83333,0.03003,0.02091,1.11952,4.24884,1.26668,0.00029109,0.00029109,0.00029109
5,22.6419,1.26522,3.02492,1.41853,0.00333,1,0.08621,0.0519,1.13886,4.25826,1.20566,0.000364952,0.000364952,0.000364952
6,28.0196,1.41717,3.32683,1.288,0.00333,1,0.16867,0.10143,1.25872,4.06509,1.22531,0.00043723,0.00043723,0.00043723
7,33.0275,1.46364,3.49409,1.3378,0.00333,1,0.16867,0.10143,1.25872,4.06509,1.22531,0.000507924,0.000507924,0.000507924
8,37.8716,1.16454,3.05462,1.21939,0.00333,1,0.08761,0.06095,1.22701,4.04899,1.17661,0.000577034,0.000577034,0.000577034
9,42.4488,1.45102,2.74319,1.48857,0.00333,1,0.18137,0.13973,1.12928,3.83003,1.13232,0.00064456,0.00064456,0.00064456
10,47.2906,1.278,2.74982,1.35312,0.00333,1,0.18137,0.13973,1.12928,3.83003,1.13232,0.000710502,0.000710502,0.000710502
11,52.5306,1.22614,2.80718,1.36393,0.00333,1,0.06211,0.0359,1.09213,3.81181,1.16991,0.00077486,0.00077486,0.00077486
12,57.2126,1.33991,2.71393,1.27823,0.00333,1,0.06211,0.0359,1.09213,3.81181,1.16991,0.000837634,0.000837634,0.000837634
13,61.8338,1.11805,2.57639,1.29429,0.00333,1,0.04792,0.02853,1.045,3.71263,1.12984,0.000898824,0.000898824,0.000898824
14,66.1864,0.91165,2.47386,1.16174,0.00333,1,0.04792,0.02853,1.045,3.71263,1.12984,0.00095843,0.00095843,0.00095843
15,70.4499,1.0464,2.6405,1.40116,0.32762,0.16667,0.09823,0.05677,1.18212,3.78057,1.18252,0.00101645,0.00101645,0.00101645
16,75.3437,0.98741,2.49956,1.10244,0.32762,0.16667,0.09823,0.05677,1.18212,3.78057,1.18252,0.00107289,0.00107289,0.00107289
17,79.7075,1.03388,2.07212,1.21345,0.32762,0.16667,0.09823,0.05677,1.18212,3.78057,1.18252,0.00112774,0.00112774,0.00112774
18,84.1079,1.0255,1.89058,1.16656,0.12977,0.5,0.19171,0.13805,1.08801,3.68525,1.14013,0.00118101,0.00118101,0.00118101
19,88.3418,1.05075,1.69373,1.13057,0.12977,0.5,0.19171,0.13805,1.08801,3.68525,1.14013,0.0012327,0.0012327,0.0012327
20,93.0364,1.03909,2.37743,1.35251,0.12977,0.5,0.19171,0.13805,1.08801,3.68525,1.14013,0.0012828,0.0012828,0.0012828
21,97.6042,0.9339,1.83639,1.06282,0.12977,0.5,0.19171,0.13805,1.08801,3.68525,1.14013,0.00133132,0.00133132,0.00133132
22,102.143,1.01811,1.8292,1.16101,1,0.3323,0.65415,0.45134,1.2299,3.32986,1.23107,0.00137825,0.00137825,0.00137825
23,106.623,1.09064,1.93656,1.20834,1,0.3323,0.65415,0.45134,1.2299,3.32986,1.23107,0.0014236,0.0014236,0.0014236
24,111.124,1.02373,1.55541,1.19102,1,0.3323,0.65415,0.45134,1.2299,3.32986,1.23107,0.00146737,0.00146737,0.00146737
25,116.06,1.19019,2.24014,1.32331,1,0.3323,0.65415,0.45134,1.2299,3.32986,1.23107,0.00150955,0.00150955,0.00150955
26,120.935,1.02777,1.97492,1.43301,0.72185,0.5,0.61091,0.43741,1.19664,2.84286,1.11462,0.001505,0.001505,0.001505
27,125.693,1.05006,2.11661,1.2202,0.72185,0.5,0.61091,0.43741,1.19664,2.84286,1.11462,0.0014852,0.0014852,0.0014852
28,130.092,1.07337,1.90797,1.21371,0.72185,0.5,0.61091,0.43741,1.19664,2.84286,1.11462,0.0014654,0.0014654,0.0014654
29,135.018,1.00545,1.93968,1.22505,0.72185,0.5,0.61091,0.43741,1.19664,2.84286,1.11462,0.0014456,0.0014456,0.0014456
30,139.574,1.1746,1.97253,1.17747,0.36067,0.65889,0.35773,0.23316,1.20584,3.21051,1.23153,0.0014258,0.0014258,0.0014258
31,144.242,1.13395,2.20591,1.22229,0.36067,0.65889,0.35773,0.23316,1.20584,3.21051,1.23153,0.001406,0.001406,0.001406
32,148.98,0.97492,2.29187,1.22812,0.36067,0.65889,0.35773,0.23316,1.20584,3.21051,1.23153,0.0013862,0.0013862,0.0013862
33,153.639,1.10649,2.16598,1.23019,0.36067,0.65889,0.35773,0.23316,1.20584,3.21051,1.23153,0.0013664,0.0013664,0.0013664
34,158.422,1.04345,2.11758,1.22493,0.34908,0.33333,0.31805,0.22882,1.14995,3.39612,1.27487,0.0013466,0.0013466,0.0013466
35,162.853,0.95636,2.50453,1.22405,0.34908,0.33333,0.31805,0.22882,1.14995,3.39612,1.27487,0.0013268,0.0013268,0.0013268
36,167.868,0.89326,2.0387,1.26005,0.34908,0.33333,0.31805,0.22882,1.14995,3.39612,1.27487,0.001307,0.001307,0.001307
37,172.611,0.95863,2.08964,1.10746,0.34908,0.33333,0.31805,0.22882,1.14995,3.39612,1.27487,0.0012872,0.0012872,0.0012872
38,177.479,1.00362,1.79529,1.34275,0.97301,0.83333,0.915,0.57407,1.24102,2.2346,1.22052,0.0012674,0.0012674,0.0012674
39,182.203,1.08457,1.89836,1.23622,0.97301,0.83333,0.915,0.57407,1.24102,2.2346,1.22052,0.0012476,0.0012476,0.0012476
40,187.021,0.93338,1.78425,1.22267,0.97301,0.83333,0.915,0.57407,1.24102,2.2346,1.22052,0.0012278,0.0012278,0.0012278
41,191.761,0.99811,3.07894,1.26393,0.97301,0.83333,0.915,0.57407,1.24102,2.2346,1.22052,0.001208,0.001208,0.001208
42,196.661,0.96351,1.67549,1.08022,1,0.81974,0.90885,0.52699,1.32306,2.24213,1.31991,0.0011882,0.0011882,0.0011882
43,201.451,1.0278,2.01164,1.18867,1,0.81974,0.90885,0.52699,1.32306,2.24213,1.31991,0.0011684,0.0011684,0.0011684
44,206,1.00376,2.08139,1.13783,1,0.81974,0.90885,0.52699,1.32306,2.24213,1.31991,0.0011486,0.0011486,0.0011486
45,210.626,0.95715,1.77744,1.05557,1,0.81974,0.90885,0.52699,1.32306,2.24213,1.31991,0.0011288,0.0011288,0.0011288
46,215.218,1.06324,2.1898,1.22513,0.98785,0.66667,0.80435,0.5132,1.24745,2.39525,1.31881,0.001109,0.001109,0.001109
47,219.817,0.8742,1.85366,1.05018,0.98785,0.66667,0.80435,0.5132,1.24745,2.39525,1.31881,0.0010892,0.0010892,0.0010892
48,224.318,0.90395,1.63751,1.05979,0.98785,0.66667,0.80435,0.5132,1.24745,2.39525,1.31881,0.0010694,0.0010694,0.0010694
49,229.021,1.00085,2.02562,1.27741,0.98785,0.66667,0.80435,0.5132,1.24745,2.39525,1.31881,0.0010496,0.0010496,0.0010496
50,233.582,0.95539,1.43338,1.11904,0.35533,0.66667,0.47468,0.32209,1.21337,3.30588,1.26143,0.0010298,0.0010298,0.0010298
51,238.392,0.80209,1.50813,1.04345,0.35533,0.66667,0.47468,0.32209,1.21337,3.30588,1.26143,0.00101,0.00101,0.00101
52,243.132,0.9212,1.75182,1.15052,0.35533,0.66667,0.47468,0.32209,1.21337,3.30588,1.26143,0.0009902,0.0009902,0.0009902
53,247.949,1.00183,2.09062,1.08685,0.35533,0.66667,0.47468,0.32209,1.21337,3.30588,1.26143,0.0009704,0.0009704,0.0009704
54,252.604,0.77892,1.74534,1.12934,0.42424,1,0.56084,0.43178,1.06617,3.75085,1.164,0.0009506,0.0009506,0.0009506
55,257.317,0.74941,1.35536,1.02837,0.42424,1,0.56084,0.43178,1.06617,3.75085,1.164,0.0009308,0.0009308,0.0009308
56,261.797,0.94513,1.96221,1.37905,0.42424,1,0.56084,0.43178,1.06617,3.75085,1.164,0.000911,0.000911,0.000911
57,266.3,0.90276,2.04483,1.30996,0.42424,1,0.56084,0.43178,1.06617,3.75085,1.164,0.0008912,0.0008912,0.0008912
58,270.847,0.94621,1.59088,1.15746,0.75263,0.66667,0.72344,0.535,1.02994,3.24552,1.15217,0.0008714,0.0008714,0.0008714
59,275.4,1.00554,1.8295,1.27133,0.75263,0.66667,0.72344,0.535,1.02994,3.24552,1.15217,0.0008516,0.0008516,0.0008516
60,279.976,1.04468,2.16694,1.14763,0.75263,0.66667,0.72344,0.535,1.02994,3.24552,1.15217,0.0008318,0.0008318,0.0008318
61,284.514,0.85904,1.49157,1.16812,0.75263,0.66667,0.72344,0.535,1.02994,3.24552,1.15217,0.000812,0.000812,0.000812
62,289.258,1.04594,1.6812,1.1846,0.62459,0.83207,0.73982,0.53953,1.17156,3.023,1.24558,0.0007922,0.0007922,0.0007922
63,294.051,1.01457,1.80816,1.11619,0.62459,0.83207,0.73982,0.53953,1.17156,3.023,1.24558,0.0007724,0.0007724,0.0007724
64,298.638,0.88467,1.29781,1.10953,0.62459,0.83207,0.73982,0.53953,1.17156,3.023,1.24558,0.0007526,0.0007526,0.0007526
65,303.075,0.8435,1.78053,1.08091,0.62459,0.83207,0.73982,0.53953,1.17156,3.023,1.24558,0.0007328,0.0007328,0.0007328
66,307.462,1.02094,1.76595,1.20346,0.55095,0.66667,0.58446,0.40642,1.17808,2.67993,1.32026,0.000713,0.000713,0.000713
67,311.835,0.87591,1.45228,1.07311,0.55095,0.66667,0.58446,0.40642,1.17808,2.67993,1.32026,0.0006932,0.0006932,0.0006932
68,316.592,0.8937,1.64138,1.1195,0.55095,0.66667,0.58446,0.40642,1.17808,2.67993,1.32026,0.0006734,0.0006734,0.0006734
69,321.792,0.92865,1.89201,1.357,0.55095,0.66667,0.58446,0.40642,1.17808,2.67993,1.32026,0.0006536,0.0006536,0.0006536
70,326.64,0.81831,1.41192,1.11979,0.76812,0.66667,0.796,0.60301,1.13092,2.25401,1.33599,0.0006338,0.0006338,0.0006338
71,331.33,0.85806,1.64733,1.00921,0.76812,0.66667,0.796,0.60301,1.13092,2.25401,1.33599,0.000614,0.000614,0.000614
72,336.489,0.84414,1.61327,1.23425,0.76812,0.66667,0.796,0.60301,1.13092,2.25401,1.33599,0.0005942,0.0005942,0.0005942
73,341.269,0.84171,1.55981,1.04921,0.76812,0.66667,0.796,0.60301,1.13092,2.25401,1.33599,0.0005744,0.0005744,0.0005744
74,345.642,0.87294,1.29022,1.09482,0.61742,0.80975,0.7351,0.50821,1.12671,2.33409,1.33197,0.0005546,0.0005546,0.0005546
75,349.984,0.8943,1.59835,1.15238,0.61742,0.80975,0.7351,0.50821,1.12671,2.33409,1.33197,0.0005348,0.0005348,0.0005348
76,354.337,1.04583,1.48362,1.20381,0.61742,0.80975,0.7351,0.50821,1.12671,2.33409,1.33197,0.000515,0.000515,0.000515
77,358.706,0.78972,1.57672,1.09706,0.61742,0.80975,0.7351,0.50821,1.12671,2.33409,1.33197,0.0004952,0.0004952,0.0004952
78,363.196,0.73952,1.44002,1.07089,0.6249,0.83304,0.67315,0.47279,1.12666,2.26002,1.32344,0.0004754,0.0004754,0.0004754
79,367.609,0.97946,2.59163,1.16274,0.6249,0.83304,0.67315,0.47279,1.12666,2.26002,1.32344,0.0004556,0.0004556,0.0004556
80,371.992,0.88555,1.51944,1.16395,0.6249,0.83304,0.67315,0.47279,1.12666,2.26002,1.32344,0.0004358,0.0004358,0.0004358
81,376.393,0.88437,1.42581,1.09757,0.6249,0.83304,0.67315,0.47279,1.12666,2.26002,1.32344,0.000416,0.000416,0.000416
82,380.762,0.91701,1.41854,1.14468,0.6465,0.66667,0.72278,0.49834,1.1309,2.15299,1.30489,0.0003962,0.0003962,0.0003962
83,385.246,0.69673,1.14663,1.01635,0.6465,0.66667,0.72278,0.49834,1.1309,2.15299,1.30489,0.0003764,0.0003764,0.0003764
84,390.227,0.76746,1.30655,1.05242,0.6465,0.66667,0.72278,0.49834,1.1309,2.15299,1.30489,0.0003566,0.0003566,0.0003566
85,396.708,0.71406,1.14573,1.04742,0.6465,0.66667,0.72278,0.49834,1.1309,2.15299,1.30489,0.0003368,0.0003368,0.0003368
